thr,tp,tn,fp,fn,Sens,Spec,Prec,F1-score
0.4,120,294,183,39,0.7547169811320755,0.6163522012578616,0.39603960396039606,0.5194805194805194
0.41000000000000003,117,305,172,42,0.7358490566037735,0.639412997903564,0.40484429065743943,0.5223214285714286
0.42000000000000004,113,309,168,46,0.710691823899371,0.6477987421383647,0.40213523131672596,0.5136363636363637
0.43000000000000005,112,317,160,47,0.7044025157232704,0.6645702306079665,0.4117647058823529,0.5197215777262181
0.44000000000000006,109,329,148,50,0.6855345911949685,0.689727463312369,0.42412451361867703,0.5240384615384616
0.45000000000000007,108,331,146,51,0.6792452830188679,0.6939203354297694,0.4251968503937008,0.5230024213075061
0.4600000000000001,107,336,141,52,0.6729559748427673,0.7044025157232704,0.4314516129032258,0.5257985257985257
0.4700000000000001,105,344,133,54,0.660377358490566,0.7211740041928721,0.4411764705882353,0.5289672544080605
0.4800000000000001,104,352,125,55,0.6540880503144654,0.7379454926624738,0.45414847161572053,0.5360824742268041
0.4900000000000001,103,358,119,56,0.6477987421383647,0.750524109014675,0.46396396396396394,0.5406824146981626
0.5000000000000001,100,368,109,59,0.6289308176100629,0.7714884696016772,0.4784688995215311,0.5434782608695653
0.5100000000000001,98,374,103,61,0.6163522012578616,0.7840670859538784,0.48756218905472637,0.5444444444444444
0.5200000000000001,96,382,95,63,0.6037735849056604,0.80083857442348,0.5026178010471204,0.5485714285714285
0.5300000000000001,94,390,87,65,0.5911949685534591,0.8176100628930818,0.5193370165745856,0.5529411764705882
0.5400000000000001,94,395,82,65,0.5911949685534591,0.8280922431865828,0.5340909090909091,0.5611940298507463
0.5500000000000002,92,401,76,67,0.5786163522012578,0.8406708595387841,0.5476190476190477,0.5626911314984709
0.5600000000000002,90,405,72,69,0.5660377358490566,0.8490566037735849,0.5555555555555556,0.5607476635514018
0.5700000000000002,89,409,68,70,0.559748427672956,0.8574423480083857,0.5668789808917197,0.5632911392405063
0.5800000000000002,86,413,64,73,0.5408805031446541,0.8658280922431866,0.5733333333333334,0.5566343042071198
0.5900000000000002,85,416,61,74,0.5345911949685535,0.8721174004192872,0.5821917808219178,0.5573770491803278
0.6000000000000002,80,420,57,79,0.5031446540880503,0.8805031446540881,0.583941605839416,0.5405405405405405
0.6100000000000002,79,423,54,80,0.4968553459119497,0.8867924528301887,0.5939849624060151,0.541095890410959
0.6200000000000002,76,427,50,83,0.4779874213836478,0.8951781970649895,0.6031746031746031,0.5333333333333333
0.6300000000000002,73,431,46,86,0.4591194968553459,0.9035639412997903,0.6134453781512605,0.5251798561151079
0.6400000000000002,70,437,40,89,0.44025157232704404,0.9161425576519916,0.6363636363636364,0.5204460966542751
0.6500000000000002,69,437,40,90,0.4339622641509434,0.9161425576519916,0.6330275229357798,0.5149253731343284
0.6600000000000003,68,440,37,91,0.4276729559748428,0.9224318658280922,0.6476190476190476,0.5151515151515151
0.6700000000000003,67,441,36,92,0.42138364779874216,0.9245283018867925,0.6504854368932039,0.5114503816793894
0.6800000000000003,63,442,35,96,0.39622641509433965,0.9266247379454927,0.6428571428571429,0.4902723735408561
0.6900000000000003,61,444,33,98,0.3836477987421384,0.9308176100628931,0.648936170212766,0.4822134387351779
